"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
5,"Bloque","A",3,1750,4,16,0.8
5,"Bloque","A",3,1800,2,18,0.9
5,"Bloque","A",3,1850,0,20,1
5,"Bloque","A",3,1900,1,19,0.95
5,"Bloque","A",3,1950,0,20,1
5,"Bloque","A",4,1550,18,2,0.1
5,"Bloque","A",4,1600,15,5,0.25
5,"Bloque","A",4,1650,13,7,0.35
5,"Bloque","A",4,1700,9,11,0.55
5,"Bloque","A",4,1750,1,19,0.95
5,"Bloque","A",4,1800,0,20,1
5,"Bloque","A",4,1850,0,20,1
5,"Bloque","A",4,1900,0,20,1
5,"Bloque","A",4,1950,0,20,1
5,"Bloque","A",5,1550,20,0,0
5,"Bloque","A",5,1600,14,6,0.3
5,"Bloque","A",5,1650,9,11,0.55
5,"Bloque","A",5,1700,5,15,0.75
5,"Bloque","A",5,1750,1,19,0.95
5,"Bloque","A",5,1800,0,20,1
5,"Bloque","A",5,1850,0,20,1
5,"Bloque","A",5,1900,2,18,0.9
5,"Bloque","A",5,1950,0,20,1
5,"Aleatoria","B",3,900,16,4,0.2
5,"Aleatoria","B",3,937,15,5,0.25
5,"Aleatoria","B",3,975,13,7,0.35
5,"Aleatoria","B",3,1012,14,6,0.3
5,"Aleatoria","B",3,1050,8,12,0.6
5,"Aleatoria","B",3,1088,11,9,0.45
5,"Aleatoria","B",3,1125,7,13,0.65
5,"Aleatoria","B",3,1163,8,12,0.6
5,"Aleatoria","B",3,1200,0,20,1
5,"Aleatoria","B",4,900,17,3,0.15
5,"Aleatoria","B",4,937,18,2,0.1
5,"Aleatoria","B",4,975,15,5,0.25
5,"Aleatoria","B",4,1012,11,9,0.45
5,"Aleatoria","B",4,1050,13,7,0.35
5,"Aleatoria","B",4,1088,4,16,0.8
5,"Aleatoria","B",4,1125,2,18,0.9
5,"Aleatoria","B",4,1163,1,19,0.95
5,"Aleatoria","B",4,1200,1,19,0.95
5,"Aleatoria","B",5,900,20,0,0
5,"Aleatoria","B",5,937,20,0,0
5,"Aleatoria","B",5,975,20,0,0
5,"Aleatoria","B",5,1012,19,1,0.05
5,"Aleatoria","B",5,1050,10,10,0.5
5,"Aleatoria","B",5,1088,7,13,0.65
5,"Aleatoria","B",5,1125,7,13,0.65
5,"Aleatoria","B",5,1163,6,14,0.7
5,"Aleatoria","B",5,1200,2,18,0.9
5,"Bloque","B",3,900,13,7,0.35
5,"Bloque","B",3,937,13,7,0.35
5,"Bloque","B",3,975,12,8,0.4
5,"Bloque","B",3,1012,11,9,0.45
5,"Bloque","B",3,1050,5,15,0.75
5,"Bloque","B",3,1088,4,16,0.8
5,"Bloque","B",3,1125,1,19,0.95
5,"Bloque","B",3,1163,1,19,0.95
5,"Bloque","B",3,1200,1,19,0.95
5,"Bloque","B",4,900,17,3,0.15
5,"Bloque","B",4,937,12,8,0.4
5,"Bloque","B",4,975,10,10,0.5
5,"Bloque","B",4,1012,10,10,0.5
5,"Bloque","B",4,1050,8,12,0.6
5,"Bloque","B",4,1088,8,12,0.6
5,"Bloque","B",4,1125,3,17,0.85
5,"Bloque","B",4,1163,5,15,0.75
